Comment,Designator,Footprint,LCSC Part #
1uF,"C1,C2",,C5673
10uF,C3,,C19702
100nF,C9,,C1591
PESD5V0S1BA,D1,,C5261083
USBLC6-2SC6,D2,,C2687116
PTC 1.1A,"F1,F2",,C720650
TYPE-C-31-M-12,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C2907321
JST-PH LiPo,J2,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,C131337
BSS138,Q1,SOT-23,C112239
5.1k,"R1,R2",,C105580
1.1k,R3,,C137780
2.0k,R4,,C105576
10k,"R5,R6,R7,R8,R9",,C98220
470k,"R10,R11",,C114622
100k,R12,,C14675
PEC11R,SW1,,C143790
BQ24074RGTR,U1,WQFN-20-1EP_3.5x3.5mm_P0.5mm_EP2.7x2.7mm,C54313
AP2112K-3.3,U2,,C23380830
ESP32-C3-MINI-1-N4,U3,,C2838502
